Entity,all years
Afghanistan,41454709
Africa (UN),1480770476
Albania,2811615
Algeria,46164169
American Samoa,47499
Americas (UN),1041794207
Andorra,80825
Angola,36749852
Anguilla,14391
Antigua and Barbuda,93293
Argentina,45538356
Armenia,2943346
Aruba,107904
Asia (UN),4778004427
Australia,26451074
Austria,9130386
Azerbaijan,10318161
Bahamas,399410
Bahrain,1569625
Bangladesh,171466945
Barbados,282302
Belarus,9115626
Belgium,11712836
Belize,411073
Benin,14110987
Bermuda,64676
Bhutan,786330
Bolivia,12244104
Bonaire Sint Eustatius and Saba,29870
Bosnia and Herzegovina,3185033
Botswana,2480185
Brazil,211140678
British Virgin Islands,38954
Brunei,458910
Bulgaria,6795757
Burkina Faso,23025738
Burundi,13689406
Cambodia,17423835
Cameroon,28372638
Canada,39299053
Cape Verde,522290
Cayman Islands,73009
Central African Republic,5152373
Chad,19319025
Chile,19658791
China,1422584878
Colombia,52321104
Comoros,850335
Congo,6182830
Cook Islands,14198
Costa Rica,5105469
Cote d'Ivoire,31165592
Croatia,3895973
Cuba,11019881
Curacao,185383
Cyprus,1344937
Czechia,10809674
Democratic Republic of Congo,105789681
Denmark,5948078
Djibouti,1152912
Dominica,66478
Dominican Republic,11331213
East Timor,1384234
Ecuador,17980034
Egypt,114535724
El Salvador,6309575
Equatorial Guinea,1847501
Eritrea,3470344
Estonia,1367143
Eswatini,1230457
Ethiopia,128691654
Europe (UN),745602817
Falkland Islands,3460
Faroe Islands,54689
Fiji,924114
Finland,5601133
France,66438774
French Guiana,303358
French Polynesia,281075
Gabon,2484739
Gambia,2697797
Georgia,3807436
Germany,84548184
Ghana,33787870
Gibraltar,38442
Greece,10242850
Greenland,55895
Grenada,117047
Guadeloupe,376468
Guam,166477
Guatemala,18124791
Guernsey,63995
Guinea,14405424
Guinea-Bissau,2153292
Guyana,826310
Haiti,11637352
High-income countries,1261155558
Honduras,10644802
Hong Kong,7442686
Hungary,9686418
Iceland,387522
India,1438069540
Indonesia,281190021
Iran,90608663
Iraq,45074010
Ireland,5196586
Isle of Man,84139
Israel,9256261
Italy,59499408
Jamaica,2839729
Japan,124370893
Jersey,103634
Jordan,11439171
Kazakhstan,20330063
Kenya,55338953
Kiribati,132494
Kosovo,1699985
Kuwait,4838724
Kyrgyzstan,7073476
Land-locked developing countries (LLDC),579184911
Laos,7664955
Latin America and the Caribbean (UN),658891468
Latvia,1882336
Least developed countries,1161055500
Lebanon,5773446
Lesotho,2311429
Less developed regions,6807234351
"Less developed regions, excluding China",5353175646
"Less developed regions, excluding least developed countries",5646178820
Liberia,5492981
Libya,7305611
Liechtenstein,39574
Lithuania,2854061
Low-income countries,736466351
Lower-middle-income countries,3253459028
Luxembourg,665058
Macao,713868
Madagascar,31195885
Malawi,21104426
Malaysia,35126249
Maldives,525955
Mali,23769081
Malta,532921
Marshall Islands,38803
Martinique,345950
Mauritania,5022397
Mauritius,1273543
Mayotte,315983
Mexico,129739713
Micronesia (country),112602
Moldova,3067017
Monaco,38929
Mongolia,3431887
Montenegro,633503
Montserrat,4397
More developed regions,1284500472
Morocco,37712463
Mozambique,33635119
Myanmar,54133741
Namibia,2963048
Nauru,11850
Nepal,29694568
Netherlands,18092473
New Caledonia,289836
New Zealand,5172791
Nicaragua,6823569
Niger,26159817
Nigeria,227882899
Niue,1809
North Korea,26418146
North Macedonia,1831749
Northern America (UN),382902690
Northern Mariana Islands,45116
Norway,5519123
Oceania (UN),45562735
Oman,5049214
Pakistan,247504458
Palau,17707
Palestine,5409153
Panama,4458719
Papua New Guinea,10389589
Paraguay,6844101
Peru,33845565
Philippines,114891152
Poland,38762796
Portugal,10430680
Puerto Rico,3241974
Qatar,2979038
Reunion,874837
Romania,19118433
Russia,145440454
Rwanda,13954429
Saint Barthelemy,11068
Saint Helena,5281
Saint Kitts and Nevis,46743
Saint Lucia,179241
Saint Martin (French part),27500
Saint Pierre and Miquelon,5673
Saint Vincent and the Grenadines,101286
Samoa,216630
San Marino,33705
Sao Tome and Principe,230834
Saudi Arabia,33264239
Senegal,18077527
Serbia,6773156
Seychelles,127910
Sierra Leone,8460469
Singapore,5789037
Sint Maarten (Dutch part),42734
Slovakia,5518008
Slovenia,2118353
Small island developing states (SIDS),72894666
Solomon Islands,799964
Somalia,18358576
South Africa,63212339
South Korea,51748695
South Sudan,11483321
Spain,47911535
Sri Lanka,22971566
Sudan,50042754
Suriname,628840
Sweden,10551441
Switzerland,8870520
Syria,23594567
Taiwan,23317100
Tajikistan,10389764
Tanzania,66617556
Thailand,71702397
Togo,9304289
Tokelau,2390
Tonga,104565
Trinidad and Tobago,1502887
Tunisia,12200387
Turkey,87270451
Turkmenistan,7364394
Turks and Caicos Islands,46171
Tuvalu,9788
Uganda,48656550
Ukraine,37732781
United Arab Emirates,10642052
United Kingdom,68682907
United States,343477286
United States Virgin Islands,85666
Upper-middle-income countries,2811308884
Uruguay,3388029
Uzbekistan,35652264
Vanuatu,320377
Vatican,489
Venezuela,28300815
Vietnam,100352143
Wallis and Futuna,11360
Western Sahara,579688
World,8091734853
Yemen,39390750
Zambia,20723923
Zimbabwe,16340778
