Country,Year,Production (t)
Americas (FAO),1990,87377160
Americas (FAO),1991,83835584
Americas (FAO),1992,94026840
Americas (FAO),1993,89589672
Americas (FAO),1994,110762128
Americas (FAO),1995,102833632
Americas (FAO),1996,106117568
Americas (FAO),1997,117374048
Americas (FAO),1998,131674280
Americas (FAO),1999,130344960
Americas (FAO),2000,135184304
Americas (FAO),2001,150131440
Americas (FAO),2002,154399376
Americas (FAO),2003,162166400
Americas (FAO),2004,175105488
Americas (FAO),2005,182686272
Americas (FAO),2006,189793376
Americas (FAO),2007,189598176
Americas (FAO),2008,198871232
Americas (FAO),2009,190517376
Americas (FAO),2010,227887232
Americas (FAO),2011,224633776
Americas (FAO),2012,203422464
Americas (FAO),2013,242922928
Americas (FAO),2014,269601920
Americas (FAO),2015,287922336
Brazil,1990,19897804
Brazil,1991,14937806
Brazil,1992,19214704
Brazil,1993,22590978
Brazil,1994,24931832
Brazil,1995,25682636
Brazil,1996,23166874
Brazil,1997,26392636
Brazil,1998,31307440
Brazil,1999,30987476
Brazil,2000,32820826
Brazil,2001,37907260
Brazil,2002,42107616
Brazil,2003,51919440
Brazil,2004,49549940
Brazil,2005,51182072
Brazil,2006,52464640
Brazil,2007,57857172
Brazil,2008,59833104
Brazil,2009,57345384
Brazil,2010,68756344
Brazil,2011,74815448
Brazil,2012,65848856
Brazil,2013,81724480
Brazil,2014,86760520
Brazil,2015,97464936
China (FAO),1990,11008140
China (FAO),1991,9721333
China (FAO),1992,10312562
China (FAO),1993,15319715
China (FAO),1994,16011005
China (FAO),1995,13510894
China (FAO),1996,13233693
China (FAO),1997,14736222
China (FAO),1998,15153263
China (FAO),1999,14245652
China (FAO),2000,15409295
China (FAO),2001,15405928
China (FAO),2002,16505768
China (FAO),2003,15393541
China (FAO),2004,17401780
China (FAO),2005,16348013
China (FAO),2006,15081987
China (FAO),2007,12725147
China (FAO),2008,15541741
China (FAO),2009,14981721
China (FAO),2010,15083504
China (FAO),2011,14485405
China (FAO),2012,13011059
China (FAO),2013,11951879
China (FAO),2014,12155173
China (FAO),2015,11787725
France,1990,245000
France,1991,161179
France,1992,74475
France,1993,139630
France,1994,257818
France,1995,259473
France,1996,226484
France,1997,266456
France,1998,278234
France,1999,261495
France,2000,201033
France,2001,309694
France,2002,208533
France,2003,147367
France,2004,147095
France,2005,142528
France,2006,122995
France,2007,84603
France,2008,63106
France,2009,109841
France,2010,140059
France,2011,122520
France,2012,103935
France,2013,110072
France,2014,227262
France,2015,336830
Germany,1990,4756
Germany,1991,2583
Germany,1992,3000
Germany,1993,2000
Germany,1994,1000
Germany,1995,1000
Germany,1996,1000
Germany,1997,1000
Germany,1998,924
Germany,1999,1030
Germany,2000,1000
Germany,2001,1600
Germany,2002,1000
Germany,2003,0
Germany,2004,0
Germany,2005,0
Germany,2006,1000
Germany,2007,1000
Germany,2008,1000
Germany,2009,1000
Germany,2010,2000
Germany,2011,3000
Germany,2012,4000
Germany,2013,10000
Germany,2014,18000
Germany,2015,27000
India,1990,2601500
India,1991,2492000
India,1992,3390000
India,1993,4745200
India,1994,3931900
India,1995,5096000
India,1996,5400000
India,1997,6463100
India,1998,7143000
India,1999,7081400
India,2000,5275800
India,2001,5962700
India,2002,4654700
India,2003,7818900
India,2004,6876300
India,2005,8273500
India,2006,8857000
India,2007,10968000
India,2008,9905400
India,2009,9964500
India,2010,12736000
India,2011,12214000
India,2012,14666000
India,2013,11861000
India,2014,10374000
India,2015,8570000
Japan,1990,220400
Japan,1991,197300
Japan,1992,188100
Japan,1993,100600
Japan,1994,98800
Japan,1995,119000
Japan,1996,148000
Japan,1997,144600
Japan,1998,158000
Japan,1999,187200
Japan,2000,235000
Japan,2001,290600
Japan,2002,270200
Japan,2003,232200
Japan,2004,163200
Japan,2005,225000
Japan,2006,229200
Japan,2007,226700
Japan,2008,261700
Japan,2009,229900
Japan,2010,222500
Japan,2011,218800
Japan,2012,235900
Japan,2013,199900
Japan,2014,231800
Japan,2015,243100
Russia,1992,505360
Russia,1993,496791
Russia,1994,421542
Russia,1995,290240
Russia,1996,282892
Russia,1997,279535
Russia,1998,295030
Russia,1999,334395
Russia,2000,341754
Russia,2001,349634
Russia,2002,422529
Russia,2003,392476
Russia,2004,554235
Russia,2005,686098
Russia,2006,804536
Russia,2007,650180
Russia,2008,745990
Russia,2009,943660
Russia,2010,1222371
Russia,2011,1640965
Russia,2012,1683123
Russia,2013,1517152
Russia,2014,2363562
Russia,2015,2708169
Turkey,1990,162000
Turkey,1991,110000
Turkey,1992,95000
Turkey,1993,63000
Turkey,1994,70000
Turkey,1995,75000
Turkey,1996,50000
Turkey,1997,40000
Turkey,1998,60000
Turkey,1999,66000
Turkey,2000,44500
Turkey,2001,50000
Turkey,2002,75000
Turkey,2003,85000
Turkey,2004,50000
Turkey,2005,29000
Turkey,2006,47300
Turkey,2007,30666
Turkey,2008,34461
Turkey,2009,38442
Turkey,2010,86540
Turkey,2011,102260
Turkey,2012,122114
Turkey,2013,180000
Turkey,2014,150000
Turkey,2015,161000
World,1990,108456440
World,1991,102848968
World,1992,113989216
World,1993,115245088
World,1994,136356256
World,1995,126923584
World,1996,130193240
World,1997,144326272
World,1998,160128816
World,1999,157815472
World,2000,161308384
World,2001,177020736
World,2002,180950736
World,2003,190573536
World,2004,205548128
World,2005,214542768
World,2006,221558928
World,2007,219793072
World,2008,231223488
World,2009,223380800
World,2010,265088432
World,2011,261604944
World,2012,241351408
World,2013,277658304
World,2014,306260576
World,2015,323266176
